Hours_Studied;Attendance;Parental_Involvement;Access_to_Resources;Extracurricular_Activities;Previous_Scores;Motivation_Level;Tutoring_Sessions;Family_Income;Teacher_Quality;Peer_Influence;Learning_Disabilities;Parental_Education_Level;Distance_from_Home;Study_Efficiency;High_Support;Family_Education_Support;Exam_Score
21;98;2;0;1;70;2;0;1;0;2;0;0;2;0.295774648;0;0;71.258248
19;91;0;1;0;52;2;2;1;2;0;1;1;1;0.358490566;0;0;66.432265
19;65;2;0;1;91;2;1;2;0;2;0;0;2;0.206521739;0;0;65.534242
2;98;1;0;1;80;0;2;1;0;1;0;1;2;0.024691358;1;0;68.070831
23;85;2;2;1;99;0;1;1;0;1;0;0;2;0.23;0;0;70.380648
23;81;2;1;0;84;2;2;2;2;2;0;1;2;0.270588235;0;0;68.627079
11;97;2;0;1;60;2;0;2;1;2;0;1;2;0.180327869;0;0;67.361754
20;95;2;1;1;62;1;2;1;2;1;0;0;1;0.317460317;0;0;69.266486
18;86;1;1;1;64;1;3;1;0;2;0;1;2;0.276923077;0;0;69.38129
23;61;2;0;1;85;2;1;2;0;2;0;1;2;0.26744186;0;0;65.647436
11;94;2;1;1;66;0;1;0;1;1;0;1;2;0.164179104;0;0;67.282027
26;66;0;0;1;82;2;1;1;2;1;0;1;2;0.313253012;0;0;67.18497
28;73;1;2;1;54;2;4;2;2;1;0;1;2;0.509090909;0;0;68.158221
28;89;2;1;1;71;1;2;1;2;1;0;0;1;0.388888889;0;0;70.820122
23;95;2;2;1;75;2;2;0;2;2;0;0;2;0.302631579;0;0;71.425426
20;79;1;2;1;59;2;0;1;2;2;0;1;1;0.333333333;0;0;65.578475
3;99;2;1;1;68;2;2;0;2;1;0;1;2;0.043478261;0;0;65.922181
22;95;0;2;0;59;2;2;1;2;0;1;1;2;0.366666667;0;0;68.605878
18;79;2;0;0;92;1;1;1;2;1;0;0;2;0.193548387;0;0;66.754491
22;74;2;1;0;61;2;1;1;2;2;0;2;2;0.35483871;0;0;65.600267
35;68;1;0;1;64;2;0;0;1;2;1;1;2;0.538461538;0;0;68.621616
21;79;2;1;1;81;1;2;2;2;1;0;1;2;0.256097561;0;0;67.742377
13;70;2;2;0;59;2;0;2;0;2;0;2;2;0.216666667;0;0;61.698902
19;65;0;0;1;74;2;1;1;2;2;0;1;2;0.253333333;0;0;65.113911
29;86;2;0;0;84;1;1;1;0;2;0;1;2;0.341176471;0;0;71.952488
17;67;2;2;1;71;2;3;2;0;0;0;1;1;0.236111111;0;0;63.189848
14;94;0;0;1;83;2;4;2;1;0;1;2;2;0.166666667;1;1;71.103177
30;69;2;2;0;92;2;2;2;1;1;0;1;2;0.322580645;0;0;68.063135
13;81;1;2;1;85;1;1;1;2;1;0;1;1;0.151162791;0;0;65.335464
26;98;1;2;1;73;2;2;1;1;0;0;1;2;0.351351351;0;0;72.29625
19;67;2;2;1;75;0;1;1;2;1;0;0;2;0.25;0;0;63.970633
15;73;2;0;0;61;1;1;1;0;2;0;2;1;0.241935484;0;0;63.82183
21;69;2;2;1;62;0;2;1;2;2;0;1;2;0.333333333;0;0;65.369378
18;64;2;1;1;68;1;1;1;2;2;0;1;2;0.260869565;0;0;63.470365
18;93;1;0;1;80;2;1;2;2;0;0;1;2;0.222222222;0;0;69.123649
20;89;0;2;1;82;2;2;0;0;1;0;0;2;0.240963855;0;0;70.423763
18;79;1;0;0;74;1;2;1;2;0;0;1;2;0.24;1;0;66.807927
24;86;2;2;1;88;2;1;1;2;1;0;1;0;0.269662921;0;0;68.593494
17;66;2;2;1;89;2;0;2;2;0;0;0;2;0.188888889;0;0;62.48448
16;76;1;2;1;79;2;0;1;0;2;0;2;1;0.2;0;0;65.368597
29;71;2;2;1;86;2;1;1;2;2;0;0;2;0.333333333;0;0;68.356575
12;96;1;2;1;71;0;2;2;2;2;0;0;2;0.166666667;0;0;68.707374
21;77;1;2;1;65;2;2;1;0;0;0;1;1;0.318181818;0;0;66.082281
21;70;2;2;1;83;2;1;2;2;1;0;1;0;0.25;0;0;64.198128
18;96;0;0;0;75;0;2;2;0;0;0;1;2;0.236842105;1;0;71.123111
18;73;1;2;1;88;1;3;1;2;2;0;0;1;0.202247191;0;0;66.676686
24;64;2;0;1;85;0;0;0;1;1;1;2;2;0.279069767;0;0;65.142925
19;98;1;0;1;67;0;1;2;2;0;0;1;1;0.279411765;0;0;69.610522
23;87;0;0;1;87;2;1;2;2;2;0;0;2;0.261363636;0;0;71.063491
30;88;0;2;1;64;2;1;0;2;1;0;0;2;0.461538462;0;0;71.322821
28;90;0;1;1;75;2;1;1;0;1;1;1;1;0.368421053;0;0;71.07005
28;83;2;1;0;61;2;1;1;2;0;1;2;2;0.451612903;0;0;67.265043
9;78;2;2;0;98;1;3;1;2;2;0;1;2;0.090909091;0;0;65.244908
27;77;1;0;0;86;0;1;0;0;0;0;0;2;0.310344828;0;0;69.228524
23;99;2;0;0;89;0;1;2;2;1;0;1;2;0.255555556;0;0;72.093387
14;73;0;2;1;57;0;2;2;2;1;0;1;1;0.24137931;0;0;63.474255
22;95;1;0;1;69;0;3;2;2;1;1;2;0;0.314285714;1;0;70.792588
17;79;0;0;1;78;2;2;0;2;2;0;1;2;0.215189873;1;0;68.693823
20;64;2;0;0;82;2;3;2;1;0;0;1;1;0.240963855;1;0;64.37013
27;83;2;0;1;94;2;2;1;0;2;0;1;2;0.284210526;1;0;72.770724
25;65;0;2;1;84;0;1;0;2;2;0;1;2;0.294117647;0;0;67.200132
18;65;2;0;0;83;1;1;2;0;1;0;1;2;0.214285714;0;0;63.960265
8;99;2;2;0;54;1;2;1;2;1;0;2;2;0.145454545;0;0;65.877147
19;62;0;2;1;94;2;0;0;1;1;0;2;2;0.2;0;1;65.373132
17;82;0;1;0;56;1;3;0;2;2;0;1;2;0.298245614;0;0;67.32768
24;76;1;0;0;83;2;1;0;2;2;0;1;2;0.285714286;0;0;68.33348
25;73;1;1;0;69;2;3;2;2;2;0;1;2;0.357142857;0;0;67.706278
12;69;0;2;1;92;1;1;2;2;1;0;0;2;0.129032258;0;0;63.696014
22;72;1;2;0;70;1;1;0;2;1;0;2;0;0.309859155;0;0;64.50542
14;69;0;2;1;71;2;1;2;2;2;0;1;2;0.194444444;0;0;63.603838
16;66;1;2;1;87;0;3;2;2;2;0;1;1;0.181818182;0;0;64.789823
26;77;2;2;1;61;2;1;1;2;1;0;0;1;0.419354839;0;0;66.509952
20;90;0;2;0;74;1;0;0;1;2;0;2;1;0.266666667;0;1;69.805269
25;88;2;2;1;95;1;1;0;0;1;0;1;2;0.260416667;0;0;71.364699
21;75;2;1;1;75;0;1;2;2;0;0;1;1;0.276315789;0;0;65.366841
19;79;2;0;1;59;2;2;1;2;1;0;2;0;0.316666667;1;0;66.077023
17;83;1;2;0;80;2;4;2;0;0;0;0;2;0.209876543;0;0;67.436736
26;63;2;2;1;76;2;3;2;0;1;1;1;2;0.337662338;0;0;65.420571
36;76;2;2;0;96;2;1;1;2;1;0;0;2;0.371134021;0;0;70.697556
23;74;2;0;1;93;2;4;0;2;1;0;1;2;0.244680851;1;0;69.808142
18;96;2;0;1;92;2;2;2;2;2;0;1;0;0.193548387;1;0;71.124456
15;74;1;1;0;71;2;0;1;0;0;0;2;2;0.208333333;0;0;63.401776
15;96;2;1;0;54;1;0;1;2;1;0;0;2;0.272727273;0;0;66.610678
26;62;2;2;1;69;2;2;2;0;2;0;0;1;0.371428571;0;0;65.240624
20;92;2;2;1;93;1;3;0;2;2;0;0;2;0.212765957;0;0;71.496661
30;99;2;2;1;70;1;2;2;2;1;0;1;2;0.422535211;0;0;73.469144
16;98;2;1;0;100;1;2;1;2;1;0;1;2;0.158415842;0;0;70.599896
19;79;2;0;1;66;1;3;0;2;2;1;1;2;0.28358209;1;0;67.734372
15;92;1;2;0;69;2;1;0;2;1;0;2;2;0.214285714;0;0;67.17821
21;97;2;2;1;80;1;2;2;2;2;0;0;2;0.259259259;0;0;71.414015
18;89;2;2;1;52;2;3;0;0;2;0;1;1;0.339622642;0;0;68.237842
14;84;0;2;1;86;0;1;1;2;2;0;1;2;0.16091954;0;0;67.806966
13;76;1;2;1;97;0;4;1;1;1;0;0;1;0.132653061;0;0;66.660883
18;71;0;2;0;71;2;1;2;0;2;0;1;1;0.25;0;0;64.574176
30;100;0;0;1;90;1;0;2;1;2;1;1;2;0.32967033;0;0;74.992499
28;99;2;2;1;88;2;3;1;2;2;0;1;2;0.314606742;0;0;74.680251
25;85;0;0;0;59;2;3;1;2;1;0;1;2;0.416666667;1;0;70.500912
23;91;0;1;0;57;2;2;1;2;2;0;1;2;0.396551724;0;0;70.188415
26;99;2;2;0;94;0;2;2;2;2;0;1;2;0.273684211;0;0;73.585037
26;64;2;0;0;91;2;1;1;2;1;0;1;1;0.282608696;0;0;65.429587
11;76;2;2;1;71;2;1;2;1;1;0;0;2;0.152777778;0;0;63.029701
9;90;2;2;1;65;2;0;2;2;1;0;1;0;0.136363636;0;0;63.333563
13;88;2;2;1;68;0;1;0;2;2;0;1;2;0.188405797;0;0;66.767579
18;78;1;2;1;59;0;0;0;0;2;0;1;1;0.3;0;0;65.740061
17;67;0;0;1;94;2;2;1;1;2;0;1;2;0.178947368;1;0;67.268524
20;71;2;2;1;75;1;0;2;2;2;0;1;2;0.263157895;0;0;64.914531
17;78;2;0;0;64;2;0;1;2;1;0;1;2;0.261538462;0;0;64.31416
32;61;0;2;1;69;0;0;0;2;2;0;1;1;0.457142857;0;0;66.788437
28;62;1;0;0;85;2;2;1;0;2;0;1;1;0.325581395;1;0;67.748112
23;75;1;0;0;71;1;0;2;2;1;0;0;2;0.319444444;0;0;66.134365
29;77;1;0;0;85;2;1;2;2;2;0;0;2;0.337209302;0;0;69.732121
22;88;2;2;1;58;1;3;1;2;0;0;0;1;0.372881356;0;0;67.913602
17;86;1;2;0;62;1;2;2;0;2;0;1;2;0.26984127;0;0;67.537657
31;96;2;2;1;93;1;3;1;2;2;0;1;2;0.329787234;0;0;75.350811
28;70;2;2;1;96;1;1;2;2;2;0;1;1;0.288659794;0;0;68.011923
28;80;2;0;1;61;1;1;1;2;0;0;0;0;0.451612903;0;0;67.4361
30;84;0;1;1;66;1;0;2;1;2;0;2;2;0.447761194;0;1;72.254211
14;78;0;0;1;80;1;1;2;2;1;0;1;2;0.172839506;0;0;66.073277
5;84;2;2;1;93;0;4;0;0;2;0;0;1;0.053191489;0;0;66.296221
11;100;0;0;1;58;0;1;1;2;2;0;0;2;0.186440678;0;0;69.174768
27;76;0;0;1;55;2;3;1;2;1;0;1;1;0.482142857;1;0;69.257817
21;83;0;1;1;89;1;0;1;1;1;0;0;1;0.233333333;0;0;68.595721
20;78;2;2;0;77;2;3;2;2;2;0;1;1;0.256410256;0;0;66.501775
23;99;1;1;1;68;0;1;2;2;1;1;0;0;0.333333333;0;0;69.878078
24;80;2;0;1;99;1;2;2;2;0;0;1;1;0.24;1;0;69.605638
21;72;2;0;1;80;1;1;2;2;1;0;1;2;0.259259259;0;0;66.152829
22;65;2;2;1;66;0;2;2;2;0;0;1;2;0.328358209;0;0;63.877111
11;81;1;0;1;63;2;3;2;2;1;0;2;2;0.171875;1;0;65.970874
13;73;2;0;0;93;2;0;0;0;1;0;2;2;0.138297872;0;0;64.354707
22;64;2;2;0;73;0;3;2;2;2;0;2;1;0.297297297;0;0;64.518765
16;71;2;0;0;69;2;1;1;2;1;0;2;2;0.228571429;0;0;63.406224
21;66;2;2;0;62;1;3;2;2;2;0;1;2;0.333333333;0;0;64.339609
9;87;1;1;0;71;1;0;1;0;1;0;0;1;0.125;0;0;64.306716
16;84;2;0;1;51;1;0;2;2;0;0;2;2;0.307692308;0;0;64.780283
19;99;1;1;0;79;0;3;2;2;2;0;1;2;0.2375;0;0;71.944107
27;90;0;2;0;96;0;0;2;2;0;0;1;1;0.278350515;0;0;70.495831
34;79;0;1;1;79;1;3;2;0;0;1;1;1;0.425;0;0;71.210531
7;61;1;0;1;76;0;1;2;2;2;0;1;0;0.090909091;0;0;59.86101
17;85;2;1;0;94;0;4;1;2;2;0;0;2;0.178947368;0;0;69.505976
21;84;0;1;1;87;1;2;0;2;2;0;2;0;0.238636364;0;1;70.611498
17;72;0;0;1;65;1;3;1;0;2;0;2;0;0.257575758;1;1;67.706761
8;61;2;2;1;54;2;1;0;2;2;0;0;2;0.145454545;0;0;58.836777
31;84;2;2;1;87;2;2;1;2;1;0;0;0;0.352272727;0;0;70.508684
20;86;1;2;0;57;2;0;2;0;2;0;1;1;0.344827586;0;0;66.647159
15;75;2;0;1;65;0;1;1;1;2;0;2;1;0.227272727;0;0;64.928577
28;64;2;2;1;56;2;1;1;1;0;0;0;2;0.49122807;0;0;64.513787
13;72;2;0;0;56;1;1;1;0;2;0;2;1;0.228070175;0;0;62.792214
34;91;2;1;0;98;2;0;2;2;1;0;1;1;0.343434343;0;0;72.518678
26;67;1;2;1;62;0;0;2;2;0;0;1;1;0.412698413;0;0;64.253484
20;91;0;0;1;61;1;4;1;2;2;0;2;2;0.322580645;1;1;73.067175
11;70;2;2;0;98;2;3;0;2;1;0;2;2;0.111111111;0;0;63.729677
36;71;2;2;1;56;2;2;0;2;2;0;1;0;0.631578947;0;0;68.762712
33;76;2;2;1;92;1;1;0;2;2;0;2;2;0.35483871;0;0;71.214613
23;68;2;0;0;53;0;3;0;2;1;0;1;1;0.425925926;1;0;65.536029
29;72;2;2;0;68;1;0;1;2;2;0;0;2;0.420289855;0;0;66.836887
20;72;2;2;0;90;1;1;2;2;1;0;2;1;0.21978022;0;0;64.794707
23;81;2;1;1;67;2;0;2;0;2;0;1;1;0.338235294;0;0;67.511512
14;98;0;0;0;51;2;0;2;1;2;1;1;2;0.269230769;0;0;67.333629
25;93;2;2;1;60;1;1;2;2;2;0;0;1;0.409836066;0;0;69.910232
23;76;1;0;1;93;2;2;1;2;0;0;0;2;0.244680851;1;0;68.951805
18;86;0;2;0;60;2;2;1;0;1;0;0;2;0.295081967;0;0;67.457623
24;71;0;0;1;93;1;2;2;2;2;1;0;2;0.255319149;1;0;68.891034
32;95;2;0;1;58;2;2;2;2;2;0;1;2;0.542372881;1;0;74.313151
26;96;0;0;1;64;1;2;2;2;1;1;1;2;0.4;1;0;72.558403
24;71;2;2;1;74;2;1;2;2;2;0;1;2;0.32;0;0;66.296397
30;90;0;2;0;67;0;2;2;2;1;0;1;2;0.441176471;0;0;71.864962
25;60;2;1;0;71;1;2;0;2;2;0;1;2;0.347222222;0;0;64.826926
12;99;0;0;0;71;2;2;2;1;1;0;0;2;0.166666667;1;0;69.657333
16;62;2;2;0;73;1;3;0;2;0;0;1;2;0.216216216;0;0;61.822891
22;71;1;2;1;65;1;1;2;1;2;0;0;1;0.333333333;0;0;65.517507
8;86;0;1;1;98;1;1;1;2;1;0;0;2;0.080808081;0;0;66.670288
18;97;0;1;1;95;0;1;2;2;2;0;2;1;0.1875;0;1;72.699043
29;98;2;0;0;86;1;2;2;2;0;0;1;0;0.333333333;1;0;72.858036
14;67;1;1;1;66;1;0;1;2;1;0;1;0;0.208955224;0;0;61.239399
24;75;2;0;1;75;0;0;2;0;2;0;0;0;0.315789474;0;0;67.066226
26;96;2;2;1;63;2;1;0;2;2;0;2;2;0.40625;0;0;71.636937
29;61;2;0;0;61;2;0;1;2;0;0;1;2;0.467741935;0;0;63.795283
27;81;2;1;1;98;2;0;0;2;2;0;1;2;0.272727273;0;0;70.412496
12;69;0;0;1;53;1;2;1;0;1;0;0;2;0.222222222;1;0;63.944695
23;79;2;0;1;97;2;1;0;1;1;0;1;1;0.234693878;0;0;68.816325
21;96;2;2;1;71;2;2;1;0;0;0;1;1;0.291666667;0;0;69.76093
21;82;1;1;1;54;0;3;1;2;0;0;0;1;0.381818182;0;0;67.083355
18;79;1;2;1;58;2;3;2;0;0;0;1;2;0.305084746;0;0;66.074719
21;92;0;1;0;76;1;2;1;2;2;0;0;2;0.272727273;0;0;70.784974
33;89;1;2;0;99;2;2;0;0;2;0;0;1;0.33;0;0;74.049122
31;79;2;0;0;98;2;1;2;0;1;0;0;1;0.313131313;0;0;70.452975
28;89;0;1;1;90;0;3;1;0;2;1;2;1;0.307692308;0;1;74.377563
23;95;1;2;1;80;0;2;1;2;1;0;1;1;0.283950617;0;0;71.317576
13;86;2;2;0;80;2;0;1;2;0;0;0;2;0.160493827;0;0;64.364805
19;84;0;2;1;67;1;0;2;1;2;0;2;2;0.279411765;0;1;68.810622
18;69;2;2;1;84;2;2;1;2;2;0;1;2;0.211764706;0;0;65.251039
24;92;0;2;1;94;1;1;2;2;1;0;2;2;0.252631579;0;1;72.844668
15;60;0;2;0;63;1;0;1;0;2;1;1;0;0.234375;0;0;59.676656
24;91;1;0;1;56;2;1;1;0;2;0;0;1;0.421052632;0;0;70.447885
23;97;1;0;1;81;1;2;2;0;1;0;1;2;0.280487805;1;0;73.638253
16;87;1;2;1;56;1;2;2;0;1;0;2;1;0.280701754;0;0;66.818289
22;63;0;1;0;63;1;1;2;1;0;0;2;1;0.34375;0;1;63.953882
22;72;1;0;0;78;1;1;1;0;1;0;2;2;0.278481013;0;0;66.80356
23;96;2;0;0;70;2;1;2;2;1;0;1;2;0.323943662;0;0;70.229642
16;74;2;0;0;80;1;0;2;2;0;0;1;2;0.197530864;0;0;63.551912
22;85;0;2;1;96;2;0;1;2;1;0;1;1;0.226804124;0;0;69.00449
23;64;0;2;1;80;1;3;2;0;0;1;0;1;0.283950617;0;0;64.774527
19;69;2;2;1;67;2;4;0;0;2;0;2;1;0.279411765;0;0;65.792303
15;87;0;1;1;80;0;0;1;2;2;0;0;2;0.185185185;0;0;68.143788
31;84;2;2;0;87;0;0;2;2;2;0;0;1;0.352272727;0;0;70.239034
21;63;2;1;0;74;2;0;1;2;0;0;1;2;0.28;0;0;62.172007
19;88;2;2;1;76;1;1;2;0;2;0;1;0;0.246753247;0;0;68.020577
10;76;2;1;1;79;1;3;2;2;1;0;1;0;0.125;0;0;63.38893
5;79;0;0;1;89;1;3;2;2;1;0;0;2;0.055555556;1;0;65.620216
11;69;2;2;0;93;2;0;2;0;0;0;0;2;0.117021277;0;0;61.487623
9;65;1;2;1;89;2;2;1;2;2;0;1;1;0.1;0;0;62.052949
15;67;2;2;1;94;1;0;0;1;2;0;2;1;0.157894737;0;0;63.763761
19;96;2;2;1;95;0;3;2;0;0;0;0;2;0.197916667;0;0;71.464499
28;76;2;2;1;99;0;1;2;2;1;0;1;2;0.28;0;0;69.469341
26;70;2;1;1;75;2;1;2;1;1;1;1;0;0.342105263;0;0;64.954734
27;80;1;1;1;84;1;4;1;2;2;0;0;1;0.317647059;0;0;71.159725
22;63;2;0;1;85;2;4;0;0;0;0;0;2;0.255813953;1;0;66.82891
17;98;0;0;0;94;1;0;0;1;0;0;0;2;0.178947368;0;0;70.465688
13;67;2;1;1;70;2;0;1;0;0;0;1;2;0.183098592;0;0;61.537234
22;88;2;1;1;70;2;3;1;2;2;0;1;2;0.309859155;0;0;70.201722
12;68;0;1;0;52;1;5;0;0;1;0;0;2;0.226415094;0;0;63.665758
18;83;0;1;0;76;2;0;2;1;1;0;1;2;0.233766234;0;0;66.75049
21;91;2;0;1;66;1;3;1;2;1;0;0;1;0.313432836;1;0;70.30605
12;72;2;2;0;67;1;4;2;2;1;0;1;2;0.176470588;0;0;63.066836
21;71;2;2;0;58;1;3;1;2;0;0;0;2;0.355932203;0;0;64.14119
21;62;0;2;0;86;2;2;2;0;2;0;1;2;0.24137931;0;0;65.331244
13;79;0;0;0;92;2;3;2;2;1;0;1;2;0.139784946;1;0;67.364821
16;66;0;2;1;79;0;0;0;0;1;0;0;2;0.2;0;0;64.016329
12;67;0;0;0;76;0;1;1;2;0;0;1;1;0.155844156;0;0;61.807246
21;70;2;1;1;90;2;1;1;2;1;0;1;1;0.230769231;0;0;65.448972
14;79;0;2;0;81;0;3;0;2;0;0;1;2;0.170731707;0;0;65.926285
19;87;1;2;0;54;1;3;1;0;2;0;1;1;0.345454545;0;0;68.046618
17;73;0;0;1;92;2;2;0;2;0;0;1;1;0.182795699;1;0;66.696377
19;78;2;1;1;56;1;3;0;2;1;0;0;1;0.333333333;0;0;65.903637
26;74;0;2;0;62;2;0;1;2;1;0;1;2;0.412698413;0;0;66.209518
16;73;2;2;1;75;0;3;2;2;2;0;1;1;0.210526316;0;0;65.189246
13;78;2;0;1;88;0;0;0;1;1;0;0;2;0.146067416;0;0;65.610233
14;74;1;2;1;66;2;0;2;0;0;0;2;2;0.208955224;0;0;63.036146
15;69;1;2;1;52;2;0;0;2;1;0;0;2;0.283018868;0;0;61.798835
16;95;2;1;0;68;1;2;2;0;1;0;1;2;0.231884058;0;0;68.718364
27;75;1;2;0;86;2;3;2;2;2;0;2;2;0.310344828;0;0;69.274714
13;73;2;1;0;59;2;0;2;0;1;0;2;2;0.216666667;0;0;62.057846
17;75;2;1;0;73;0;0;1;2;1;0;1;2;0.22972973;0;0;64.2064
10;78;2;0;1;74;2;1;1;2;1;0;2;2;0.133333333;0;0;63.908058
15;77;1;2;1;63;2;0;2;2;1;0;1;2;0.234375;0;0;63.734723
19;79;0;2;1;68;2;2;0;0;0;0;0;2;0.275362319;0;0;66.935019
15;73;1;0;1;93;2;1;1;0;2;0;0;0;0.159574468;0;0;65.62374
17;94;2;0;0;80;0;0;2;1;1;0;0;2;0.209876543;0;0;68.660076
26;91;0;2;1;65;1;0;2;0;1;0;1;1;0.393939394;0;0;70.353631
22;75;0;2;1;84;1;3;0;2;0;0;0;2;0.258823529;0;0;67.921221
20;69;2;0;0;63;1;0;1;2;0;0;2;2;0.3125;0;0;63.075896
23;75;2;1;1;66;2;5;2;1;1;0;1;2;0.343283582;0;0;68.218372
21;98;0;2;1;95;2;0;2;2;1;0;1;2;0.21875;0;0;71.598062
28;98;2;0;1;72;2;1;1;0;2;0;0;2;0.383561644;0;0;73.821785
27;90;2;2;0;82;2;0;2;2;2;0;0;1;0.325301205;0;0;69.710108
24;94;1;2;0;60;1;0;2;2;1;0;1;2;0.393442623;0;0;69.169225
28;91;0;2;0;98;1;2;1;2;2;0;2;2;0.282828283;0;1;74.484516
21;84;0;0;1;61;1;1;2;0;0;0;1;1;0.338709677;0;0;67.831333
22;76;0;2;1;84;0;2;2;0;1;0;1;2;0.258823529;0;0;68.684323
18;79;2;2;1;69;2;2;0;1;2;0;0;2;0.257142857;0;0;66.768506
22;63;1;1;1;94;2;0;2;2;0;1;1;0;0.231578947;0;0;62.523349
24;86;0;2;0;89;1;2;1;2;0;0;2;0;0.266666667;0;1;69.897183
16;66;1;0;1;99;2;1;1;2;2;0;0;2;0.16;0;0;65.305491
11;85;2;2;0;79;1;2;0;1;2;0;1;2;0.1375;0;0;66.101183
25;74;1;2;1;65;0;0;0;2;1;0;1;1;0.378787879;0;0;66.254981
24;78;0;0;1;87;2;2;2;2;1;0;1;2;0.272727273;1;0;70.17341
25;77;0;2;1;98;1;0;0;2;2;0;1;2;0.252525253;0;0;69.666944
20;93;2;2;1;82;1;1;2;0;2;1;1;1;0.240963855;0;0;69.256748
17;90;0;2;0;82;2;0;2;0;1;0;0;2;0.204819277;0;0;68.031909
20;90;2;2;1;83;0;1;1;1;2;0;0;2;0.238095238;0;0;69.982988
20;67;2;2;0;93;1;1;1;2;0;1;0;2;0.212765957;0;0;63.065049
7;77;1;2;1;53;0;4;1;2;2;0;0;1;0.12962963;0;0;63.094654
24;84;2;2;1;74;2;2;2;0;2;0;1;0;0.32;0;0;68.848506
25;60;2;0;1;67;2;1;2;0;1;0;0;2;0.367647059;0;0;64.552505
24;60;2;2;0;85;1;1;0;2;1;0;2;1;0.279069767;0;0;63.549961
23;76;0;2;0;81;2;3;1;0;2;0;1;2;0.280487805;0;0;68.991238
12;62;2;0;1;63;0;1;0;2;1;0;1;2;0.1875;0;0;61.135837
15;95;1;1;1;88;1;1;1;2;0;0;1;2;0.168539326;0;0;69.076135
17;64;2;2;0;50;2;2;1;0;2;0;1;1;0.333333333;0;0;61.741117
23;69;2;2;1;58;0;0;2;2;1;0;2;2;0.389830508;0;0;64.307071
32;94;2;0;1;55;0;4;2;2;2;1;1;2;0.571428571;1;0;74.409432
19;64;0;1;1;86;1;3;0;2;1;0;2;2;0.218390805;0;1;66.910793
18;65;2;0;1;91;2;5;1;2;1;0;0;2;0.195652174;1;0;66.757053
28;97;2;2;1;88;0;2;2;2;1;0;1;1;0.314606742;0;0;73.042068
23;63;2;2;0;73;1;1;1;2;1;0;0;1;0.310810811;0;0;62.994516
11;68;1;0;1;50;1;2;1;0;2;0;1;2;0.215686275;1;0;63.538417
15;95;0;1;0;70;2;2;0;0;1;1;1;2;0.211267606;0;0;68.524368
29;80;1;2;1;91;0;1;0;2;2;0;0;1;0.315217391;0;0;70.730367
26;73;2;2;0;55;2;1;2;1;2;0;2;2;0.464285714;0;0;66.151329
15;95;2;2;0;93;2;2;1;2;2;0;0;1;0.159574468;0;0;68.867624
18;81;2;2;0;65;1;2;1;2;1;0;2;2;0.272727273;0;0;65.798203
17;76;0;2;0;100;1;0;0;2;1;0;1;1;0.168316832;0;0;65.72165
34;75;1;2;1;66;2;0;1;2;2;0;1;2;0.507462687;0;0;69.664076
28;88;0;2;0;79;2;0;2;2;2;0;1;0;0.35;0;0;69.787097
17;90;2;2;0;83;1;5;2;0;0;1;1;2;0.202380952;0;0;68.477241
19;89;2;0;0;92;0;5;2;2;2;0;2;2;0.204301075;1;0;72.136964
19;80;1;1;0;82;2;5;1;1;2;0;0;2;0.228915663;0;0;69.189421
14;84;2;2;0;81;2;0;0;2;1;0;0;2;0.170731707;0;0;64.958068
12;74;1;0;1;55;0;0;2;1;2;0;2;2;0.214285714;0;0;63.633488
22;72;0;2;1;64;1;1;2;2;0;0;0;2;0.338461538;0;0;65.21556
26;68;2;2;1;62;0;4;2;2;1;0;2;2;0.412698413;0;0;66.952282
20;68;1;2;1;80;1;4;1;2;1;0;0;2;0.24691358;0;0;66.246898
25;74;1;2;1;92;1;4;2;2;2;0;2;2;0.268817204;0;0;70.015504
13;96;2;2;0;69;2;2;2;1;2;0;1;2;0.185714286;0;0;67.919846
15;93;2;2;1;78;1;0;2;2;0;0;1;1;0.189873418;0;0;66.45099
12;80;2;1;0;75;2;1;1;0;0;0;1;1;0.157894737;0;0;63.45558
36;82;1;1;1;63;2;0;2;2;2;0;1;2;0.5625;0;0;71.679024
24;63;2;1;1;57;2;1;1;0;1;0;0;2;0.413793103;0;0;64.240446
25;93;2;2;0;62;2;0;1;2;1;0;1;0;0.396825397;0;0;67.984269
20;99;0;1;1;76;0;2;1;2;1;0;0;0;0.25974026;0;0;71.157734
22;89;2;0;0;59;0;5;2;2;2;1;1;2;0.366666667;1;0;70.486622
12;79;2;1;0;80;1;1;0;2;2;0;0;1;0.148148148;0;0;64.299842
17;94;2;1;1;98;1;1;2;0;0;0;1;2;0.171717172;0;0;69.968601
22;63;1;0;1;86;1;0;1;0;1;0;0;2;0.252873563;0;0;65.418068
16;64;0;2;1;79;2;3;2;2;2;1;2;2;0.2;0;1;64.696175
21;96;2;0;1;53;2;0;1;0;1;0;0;2;0.388888889;0;0;69.557172
21;93;2;2;1;78;2;0;1;2;1;0;1;2;0.265822785;0;0;69.133176
20;94;0;2;1;93;1;1;2;2;1;0;0;1;0.212765957;0;0;70.480709
11;73;2;0;1;79;2;1;1;0;1;0;1;2;0.1375;0;0;63.884194
21;91;2;2;0;66;1;1;0;2;2;0;0;2;0.313432836;0;0;68.752061
20;61;2;0;0;89;2;1;2;2;1;0;2;0;0.222222222;0;0;62.506118
15;91;0;2;0;80;2;0;1;2;2;0;2;2;0.185185185;0;1;68.815071
22;82;1;0;0;78;2;3;2;0;1;0;1;1;0.278481013;1;0;69.444142
